3.06E+03	3.01E+03	6.33E+03	1.08E+03	1.56E+03	1.61E+03	1.96E+04	5.96E+03	1.01E+04	2.87E+03	6.88E+03	9.74E+01	1.97E+04	9.27E+03	2.21E+04	6.98E+01	1.70E+03	6.47E+03	1.19E+04	3.82E+03
0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.62E-02	1.92E-02	8.47E-02	2.83E-02	1.10E-01	8.80E+01	2.16E+02	7.13E+00	5.62E-01	5.06E+01	1.78E+00	1.25E+00	1.62E+00	1.13E-01	1.27E+01	2.81E+01	2.16E+00	8.78E+00	6.01E+00	4.80E-02
7.82E+01	7.99E+01	7.24E+01	7.72E+01	5.97E+01	7.80E+01	7.31E+01	8.02E+01	7.88E+01	7.64E+01	7.27E+01	7.78E+01	9.55E+00	5.01E+00	7.43E+00	7.49E+01	7.59E+01	7.35E+01	7.72E+01	1.21E+01
1.10E+02	1.16E+02	1.14E+02	3.62E+01	9.65E+01	1.32E+02	6.90E+01	9.16E+01	9.06E+01	1.23E+02	6.57E+01	9.65E+01	8.96E+01	1.04E+02	1.10E+02	1.04E+02	9.85E+01	1.03E+02	8.86E+01	1.11E+02
7.80E+00	1.45E+01	7.62E+00	1.03E+01	1.47E+01	1.33E+01	9.14E+00	6.49E+00	1.28E+01	1.05E+01	2.44E+01	1.70E+01	8.73E+00	5.84E+00	1.27E+01	1.66E+01	1.48E+01	1.04E+01	9.72E+00	1.22E+01
1.84E+02	1.28E+02	1.49E+02	1.13E+02	1.28E+02	1.66E+02	1.78E+02	1.39E+02	1.55E+02	1.06E+02	1.41E+02	1.72E+02	1.28E+02	1.57E+02	1.73E+02	1.49E+02	1.37E+02	1.72E+02	1.58E+02	1.20E+02
1.09E+02	8.86E+01	1.18E+02	9.65E+01	9.75E+01	5.87E+01	1.09E+02	7.39E+01	8.17E+01	9.75E+01	1.08E+02	9.49E+01	1.11E+02	8.26E+01	1.40E+02	6.57E+01	1.07E+02	8.16E+01	9.95E+01	1.30E+02
5.90E+02	4.19E+02	2.92E+02	1.07E+03	5.34E+02	5.73E+02	8.96E+02	2.72E+02	1.56E+02	3.71E+02	8.07E+02	7.11E+02	6.84E+02	7.90E+02	1.10E+03	3.67E+02	9.71E+02	8.87E+02	2.74E+02	3.30E+02
3.32E+03	3.11E+03	3.30E+03	2.78E+03	3.14E+03	2.91E+03	3.23E+03	2.99E+03	2.91E+03	3.21E+03	2.08E+03	3.18E+03	2.93E+03	3.20E+03	2.84E+03	2.98E+03	2.73E+03	3.35E+03	3.18E+03	3.22E+03
4.40E+02	3.75E+02	3.99E+02	3.85E+02	4.41E+02	2.66E+02	3.74E+02	3.48E+02	1.43E+02	7.71E+02	7.92E+02	1.45E+02	1.95E+02	1.54E+02	5.81E+02	2.62E+02	4.38E+02	2.46E+02	3.86E+02	1.95E+02
5.75E+04	3.71E+05	8.70E+04	7.45E+04	5.09E+04	5.30E+05	4.95E+04	8.68E+04	2.51E+05	5.21E+04	9.37E+04	1.53E+05	3.38E+04	4.70E+04	9.99E+04	1.25E+05	4.03E+04	4.32E+04	1.84E+05	1.39E+05
2.80E+04	7.76E+03	3.43E+03	5.51E+03	1.73E+03	2.50E+03	1.13E+04	4.50E+04	4.87E+03	3.44E+04	3.47E+04	1.18E+04	5.23E+04	3.25E+04	8.53E+03	4.87E+04	9.69E+03	3.67E+04	1.30E+04	3.03E+03
1.34E+03	1.94E+03	4.41E+02	8.51E+02	9.40E+02	3.91E+02	4.86E+02	3.72E+02	7.79E+02	3.64E+02	5.02E+02	2.49E+02	8.79E+03	4.17E+02	1.18E+03	4.71E+03	8.71E+02	2.71E+02	4.94E+02	2.96E+02
7.99E+03	1.99E+04	5.45E+02	5.51E+03	2.75E+04	1.15E+04	8.36E+03	8.00E+03	1.91E+04	6.10E+03	7.75E+03	7.76E+03	1.21E+03	1.23E+03	4.98E+03	5.55E+02	1.05E+04	2.30E+04	2.01E+04	2.92E+04
8.21E+02	4.82E+02	3.10E+02	6.79E+02	6.44E+02	8.98E+02	9.50E+02	5.25E+02	9.49E+02	8.64E+02	6.93E+02	7.14E+02	4.64E+02	8.91E+02	1.12E+03	1.15E+03	4.87E+02	7.65E+02	7.66E+02	7.86E+02
1.62E+02	1.31E+02	3.81E+02	2.00E+02	3.64E+02	9.21E+01	1.25E+02	1.36E+02	1.98E+02	2.25E+02	3.34E+02	2.17E+02	1.68E+02	2.68E+02	1.18E+02	2.98E+02	1.94E+02	2.72E+02	1.97E+02	2.46E+02
2.02E+05	1.94E+05	4.75E+04	7.95E+04	6.76E+04	1.25E+05	6.77E+04	1.13E+05	6.66E+04	6.31E+04	1.30E+05	7.25E+04	5.46E+04	8.28E+04	1.24E+05	1.19E+05	1.16E+05	2.40E+04	1.23E+05	4.76E+04
1.15E+04	2.68E+04	9.40E+02	4.38E+02	3.81E+03	1.13E+04	2.93E+03	1.68E+03	1.10E+04	2.56E+02	1.04E+03	3.53E+04	4.05E+02	4.08E+03	1.26E+03	9.91E+03	2.80E+03	4.13E+03	2.04E+03	3.91E+04
2.72E+02	1.09E+02	2.75E+02	2.94E+02	2.73E+02	7.55E+01	1.23E+02	1.78E+02	2.47E+02	1.68E+02	2.01E+02	3.04E+02	3.90E+02	3.39E+02	1.21E+02	1.80E+02	3.16E+02	2.11E+02	1.90E+02	1.23E+02
