5.68E-14	6.86E+03	1.18E+03	7.97E+03	5.58E+03	1.04E+04	2.32E-07	1.12E+03	3.35E+10
1.62E-13	2.12E+01	6.02E-04	3.63E-04	6.76E-07	3.32E+02	8.01E-01	3.85E-10	8.55E+04
4.85E+01	6.20E+01	9.89E+00	4.64E+01	2.42E+01	8.97E+01	5.47E+01	1.05E+01	5.68E+03
5.07E+01	9.76E+01	6.98E+01	9.85E+01	8.25E+01	9.19E+01	4.59E+01	3.16E+01	3.59E+02
4.78E-06	1.20E+01	1.19E-01	9.37E-01	1.18E+01	1.55E+01	2.86E-01	7.71E-03	6.19E+01
7.97E+01	1.48E+02	1.13E+02	1.35E+02	1.33E+02	1.67E+02	1.10E+02	6.38E+01	7.55E+02
5.35E+01	9.76E+01	6.65E+01	8.79E+01	8.32E+01	7.80E+01	5.34E+01	3.29E+01	3.75E+02
2.36E-01	6.05E+02	2.23E+02	4.61E+02	4.73E+02	5.93E+02	6.44E+01	5.28E+00	7.42E+03
2.98E+03	3.03E+03	3.56E+03	2.31E+03	2.79E+03	3.98E+03	3.23E+03	3.41E+03	6.01E+03
1.21E+01	3.67E+02	3.46E+01	1.09E+02	1.26E+02	2.68E+02	9.69E+01	3.94E+01	6.53E+03
3.10E+03	1.28E+05	1.11E+03	8.40E+04	2.06E+04	1.49E+05	1.33E+04	1.47E+04	5.13E+09
2.94E+01	1.98E+04	1.90E+02	1.96E+04	4.01E+03	1.84E+04	2.38E+03	5.30E+03	1.13E+09
2.46E+01	1.28E+03	5.22E+01	2.49E+02	9.05E+01	3.69E+03	1.27E+02	5.38E+01	2.39E+06
9.04E+00	1.11E+04	5.79E+01	8.78E+03	2.19E+02	1.11E+04	2.90E+02	2.08E+02	1.86E+08
4.09E+02	7.48E+02	5.18E+02	6.36E+02	6.30E+02	7.36E+02	4.56E+02	4.30E+02	2.68E+03
6.25E+01	2.16E+02	1.89E+02	2.06E+02	1.77E+02	3.29E+02	7.85E+01	5.46E+01	1.17E+03
2.90E+01	9.59E+04	6.73E+01	1.50E+04	1.81E+03	1.70E+05	1.39E+04	7.48E+03	1.63E+07
8.32E+00	8.54E+03	3.29E+01	4.20E+03	1.55E+02	1.20E+04	7.98E+01	4.37E+02	1.63E+08
6.92E+01	2.20E+02	1.92E+02	2.15E+02	2.54E+02	3.93E+02	1.26E+02	1.04E+02	7.64E+02
2.46E+02	2.91E+02	2.59E+02	2.73E+02	2.71E+02	2.72E+02	2.41E+02	2.29E+02	5.32E+02
1.00E+02	7.26E+02	2.40E+03	3.79E+02	1.01E+02	1.02E+02	2.56E+02	1.00E+02	5.79E+03
4.01E+02	4.52E+02	4.21E+02	4.44E+02	4.36E+02	4.42E+02	4.04E+02	3.84E+02	9.62E+02
4.71E+02	5.06E+02	5.00E+02	5.16E+02	5.01E+02	5.03E+02	4.69E+02	4.49E+02	1.08E+03
3.87E+02	3.95E+02	3.87E+02	3.97E+02	3.92E+02	4.10E+02	3.94E+02	3.88E+02	1.82E+03
1.56E+03	1.89E+03	1.79E+03	1.76E+03	1.66E+03	1.57E+03	1.63E+03	1.06E+03	6.55E+03
5.04E+02	5.40E+02	5.16E+02	5.44E+02	5.35E+02	5.41E+02	5.26E+02	5.18E+02	5.00E+02
3.35E+02	3.72E+02	3.65E+02	3.23E+02	3.22E+02	4.19E+02	3.52E+02	3.17E+02	5.00E+02
5.02E+02	8.58E+02	6.45E+02	6.71E+02	7.80E+02	8.76E+02	5.80E+02	4.79E+02	2.51E+03
2.08E+03	1.39E+04	2.48E+03	6.52E+03	5.37E+03	2.22E+04	4.68E+03	4.00E+03	1.51E+08
